u_number,sex,race,age,high_school,full_part,city,stat_code,zip,pell_grant,camp_code,major,hours_attempted,hours_earned,mc_gpa,pass_engl,pass_math,term_year,summer1,fall,MCPS,HS_classify,hours_earned_rate,unearned_hours
20193667,M,Foreign,18 - 20,Damascus High School,PT,Damascus,MD,20872,N,NA,General Studies,5,0,0,N,N,2020,N,Y,TRUE,MCPS,0,5
20193668,M,Foreign,18 - 20,Thomas Sprigg Wootton High Sch,FT,Rockville,MD,20850,N,R,Architectural Technology,14,14,4,N,Y,2020,N,Y,TRUE,MCPS,1,0
20193669,F,Hispanic,18 - 20,Richard Montgomery High School,FT,Rockville,MD,20853,Y,R,Education,16,12,3.5,Y,N,2020,N,Y,TRUE,MCPS,0.75,4
20193670,F,Hispanic,18 - 20,Montgomery Blair High School,FT,Silver Spring,MD,20903,Y,T,Health Sciences,10,10,4,Y,Y,2020,N,Y,TRUE,MCPS,1,0
20193671,M,Multi-Race,18 - 20,Bethesda Chevy Chase High Schl,FT,Silver Spring,MD,20910,N,T,Business,16,12,3.5,Y,N,2020,N,Y,TRUE,MCPS,0.75,4
20193672,F,Black / African Am.,18 - 20,Quince Orchard Sr High School,FT,Gaithersburg,MD,20878,Y,T,Business,13,9,2.67,Y,N,2020,N,Y,TRUE,MCPS,0.6923076923076923,4
20193674,M,Asian,18 - 20,Watkins Mill High School,FT,Montgomery Village,MD,20886,Y,G,Science,13,0,0,N,N,2020,N,Y,TRUE,MCPS,0,13
20193675,M,Black / African Am.,18 - 20,Paint Branch High School,PT,Silver Spring,MD,20904,Y,R,Business,9,3,3,N,N,2020,N,Y,TRUE,MCPS,0.3333333333333333,6
20193676,M,Multi-Race,18 - 20,Thomas Sprigg Wootton High Sch,FT,Gaithersburg,MD,20878,N,R,Computer Science,17,13,3.23,N,Y,2020,N,Y,TRUE,MCPS,0.7647058823529411,4
20193677,F,Hispanic,18 - 20,Springbrook Sr High School,FT,Silver Spring,MD,20904,Y,T,General Studies,20,20,3.5,Y,Y,2020,N,Y,TRUE,MCPS,1,0
