"","u_number","sex","race","age","high_school","full_part","city","stat_code","zip","pell_grant","camp_code","major","hours_attempted","hours_earned","mc_gpa","pass_engl","pass_math","term_year","summer2","fall"
"1","20190001","F","Hispanic","18 - 20","Out of State High School","PT","Gaithersburg","MD","20878","N","R","General Studies",10,10,4,"Y","Y","2020","N","Y"
"2","20190002","M","Hispanic","18 - 20","Walter Johnson High School","FT","Rockville","MD","20852","N","R","Business",22,18,3,"Y","N","2020","N","Y"
"3","20190004","M","Asian","18 - 20","Thomas Sprigg Wootton High Sch","PT","Gaithersburg","MD","20878","N","R","Science",4,0,0,"N","N","2020","N","Y"
"4","20190005","M","Hispanic","18 - 20","FOREIGN / INTERNATIONAL HS","FT","Chevy Chase","MD","20815","N","R","General Studies",13,3,4,"N","N","2020","N","Y"
"5","20190006","F","Hispanic","18 - 20","Springbrook Sr High School","FT","Silver Spring","MD","20904","N","T","General Studies",10,10,3.7,"Y","N","2020","N","Y"
"6","20190007","F","Hispanic","18 - 20","Living Grace Christian School","FT","Gaithersburg","MD","20877","Y","R","Graphic Design",13,13,2.77,"N","N","2020","N","Y"
"7","20190008","M","White","18 - 20","Gaithersburg High School","PT","Gaithersburg","MD","20882","N","G","General Studies",9,9,3.67,"Y","Y","2020","N","Y"
"8","20190009","M","White","18 - 20","Winston Churchill High School","FT","Potomac","MD","20854","Y","R","Cybersecurity",12,0,0,"N","N","2020","N","Y"
"9","20190010","N","Hispanic","18 - 20","Gaithersburg High School","FT","Gaithersburg","MD","20877","N","R","General Studies",17,12,2.67,"Y","N","2020","N","Y"
"10","20190011","F","Black / African Am.","18 - 20","Northwood High School","PT","Silver Spring","MD","20906","Y","T","General Studies",2,0,0,"N","N","2020","N","Y"
"11","20190012","M","Asian","18 - 20","Gaithersburg High School","PT","Gaithersburg","MD","20882","N","R","Business",10,10,2.3,"Y","Y","2020","N","Y"
"12","20190013","F","Asian","18 - 20","FOREIGN / INTERNATIONAL HS","PT","Silver Spring","MD","20903","Y","T","Health Sciences",10,0,0,"N","N","2020","N","Y"
"13","20190014","F","Hispanic","18 - 20","Rockville High School","FT","Rockville","MD","20853","Y","R","Science",14,10,3.6,"Y","Y","2020","N","Y"
"14","20190015","F","Hispanic","18 - 20","Rockville High School","FT","Rockville","MD","20853","N","R","Health Sciences",22,9,0,"N","N","2020","N","Y"
"15","20190016","M","Black / African Am.","18 - 20","Gaithersburg High School","PT","Gaithersburg","MD","20877","Y","R","General Studies",3,3,2,"Y","N","2020","N","Y"
"16","20190017","F","Black / African Am.","18 - 20","Watkins Mill High School","FT","Germantown","MD","20876","Y","G","General Studies",18,6,0,"N","N","2020","N","Y"
"17","20190018","F","White","18 - 20","Walter Johnson High School","FT","Kensington","MD","20895","N","R","General Studies",12,6,3,"Y","N","2020","N","Y"
"18","20190019","M","White","18 - 20","Rockville High School","FT","Rockville","MD","20851","N","R","Engineering Science",13,9,1.67,"Y","N","2020","N","Y"
"19","20190021","M","Asian","21 - 24","Watkins Mill High School","PT","Germantown","MD","20874","Y","R","Health Sciences",6,0,0,"N","N","2020","N","Y"
"20","20190022","M","Hispanic","18 - 20","Winston Churchill High School","FT","Potomac","MD","20854","N","R","Computer Science",13,13,3.77,"Y","Y","2020","N","Y"
"21","20190023","F","Hispanic","18 - 20","Richard Montgomery High School","FT","Chevy Chase","MD","20815","Y","R","General Studies",9,6,2,"Y","N","2020","N","Y"
"22","20190024","M","White","18 - 20","Quince Orchard Sr High School","FT","Gaithersburg","MD","20879","Y","G","Cybersecurity",9,6,0.67,"N","N","2020","N","Y"
"23","20190025","F","Hispanic","18 - 20","Duval Sr High School","FT","New Carrollton","MD","20784","N","R","Business",13,9,3.33,"Y","N","2020","N","Y"
"24","20190026","F","Hawaiian / Pac. Isl.","18 - 20","John F. Kennedy High School","FT","North Bethesda","MD","20852","Y","R","Business",9,0,0,"N","N","2020","N","Y"
"25","20190027","M","Black / African Am.","18 - 20","High Point Sr High School","PT","Greenbelt","MD","20770","Y","T","Business",6,0,0,"N","N","2020","N","Y"
"26","20190028","F","Hispanic","18 - 20","Montgomery Blair High School","PT","Adelphi","MD","20783","N","T","General Studies",9,9,2.33,"Y","N","2020","N","Y"
"27","20190029","F","Hispanic","18 - 20","Gaithersburg High School","FT","Gaithersburg","MD","20877","N","G","Science",15,15,3.73,"Y","Y","2020","N","Y"
"28","20190030","M","Black / African Am.","18 - 20","DISTRICT OF COLUMBIA HS","PT","Washington","DC","20002","Y","T","General Studies",7,1,3,"N","N","2020","N","Y"
"29","20190031","M","Hispanic","18 - 20","Seneca Valley High School","FT","Germantown","MD","20876","N","G","Health Enhancement, Exercise Science, and
Physical Education",9,9,2,"N","N","2020","N","Y"
"30","20190032","F","Hispanic","18 - 20","Watkins Mill High School","FT","Gaithersburg","MD","20879","Y","G","General Studies",12,3,0.43,"N","N","2020","N","Y"
"31","20190033","F","Foreign","18 - 20","Montgomery Blair High School","FT","Silver Spring","MD","20901","N","T","General Studies",12,7,3.43,"N","N","2020","N","Y"
"32","20190035","M","Hispanic","18 - 20","Watkins Mill High School","FT","Montgomery Village","MD","20886","Y","R","Building Trade",10,10,1.9,"Y","Y","2020","N","Y"
"33","20190036","F","Asian","18 - 20","FOREIGN / INTERNATIONAL HS","PT","Gaithersburg","MD","20879","Y","G","Computer Science",10,0,0,"N","N","2020","N","Y"
"34","20190037","M","Foreign","25 - 29","FOREIGN / INTERNATIONAL HS","PT","Rockville","MD","20852","N","R","Graphic Design",9,9,2.33,"Y","N","2020","N","Y"
"35","20190038","M","Asian","21 - 24","G. E. D.","PT","Montgomery Village","MD","20886","Y","R","General Studies",10,0,0,"N","N","2020","N","Y"
"36","20190039","F","Foreign","21 - 24","FOREIGN / INTERNATIONAL HS","FT","North Bethesda","MD","20852","N","R","ELAP",15,0,0,"N","N","2020","N","Y"
"37","20190040","M","Hispanic","18 - 20","John F. Kennedy High School","FT","Silver Spring","MD","20906","N","R","General Studies",13,0,0,"N","N","2020","N","Y"
"38","20190041","F","Black / African Am.","18 - 20","Paint Branch High School","PT","Burtonsville","MD","20866","N","R","Business",9,9,2,"N","Y","2020","N","Y"
"39","20190043","F","Hispanic","21 - 24","FOREIGN / INTERNATIONAL HS","PT","Clarksburg","MD","20871","N","G","General Studies",10,0,0,"N","N","2020","N","Y"
"40","20190044","F","Black / African Am.","18 - 20","James Hubert Blake High School","PT","Silver Spring","MD","20901","Y","T","General Studies",6,0,0,"N","N","2020","N","Y"
"41","20190045","M","Foreign","18 - 20","Wheaton High School","FT","Silver Spring","MD","20901","N",NA,"Computer Science",13,13,3.77,"Y","Y","2020","N","Y"
"42","20190046","M","Black / African Am.","18 - 20","Wheaton High School","FT","Silver Spring","MD","20906","Y","R","General Studies",12,7,2.57,"N","N","2020","N","Y"
"43","20190047","M","Asian","18 - 20","Gaithersburg High School","FT","Gaithersburg","MD","20877","Y","R","Science",15,9,2.67,"Y","N","2020","N","Y"
"44","20190048","F","Black / African Am.","18 - 20","Unknown","PT","Silver Spring","MD","20904","Y","T","General Studies",6,6,2.5,"Y","N","2020","N","Y"
"45","20190049","F","Asian","18 - 20","Paint Branch High School","FT","Bethesda","MD","20817","N","R","Computer Science",13,9,1.67,"Y","N","2020","N","Y"
"46","20190050","M","Hispanic","18 - 20","Albert Einstein HS & MC Art Cn","FT","Silver Spring","MD","20910","Y","T","Health Sciences",16,16,3.38,"Y","Y","2020","N","Y"
"47","20190051","M","Hispanic","18 - 20","James Hubert Blake High School","PT","Ashton","MD","20861","N","T","General Studies",9,1,1,"N","N","2020","N","Y"
"48","20190052","M","Black / African Am.","< 18","DISTRICT OF COLUMBIA HS","FT","Capitol Heights","MD","20743","N","R","General Studies",15,2,0.67,"N","N","2020","N","Y"
"49","20190053","F","Hispanic","18 - 20","Quince Orchard Sr High School","PT","Gaithersburg","MD","20878","Y","R","Health Sciences",3,3,1,"N","N","2020","N","Y"
"50","20190054","M","White","18 - 20","Out of State High School","FT","Gaithersburg","MD","20878","Y","G","General Studies",10,10,3,"Y","N","2020","N","Y"
"51","20190055","F","Black / African Am.","18 - 20","James Hubert Blake High School","PT","Silver Spring","MD","20905","Y","T","General Studies",10,1,0.5,"N","N","2020","N","Y"
"52","20190056","M","Hispanic","18 - 20","John F. Kennedy High School","FT","Silver Spring","MD","20902","N","R","General Studies",12,9,1.75,"Y","N","2020","N","Y"
"53","20190057","M","Hispanic","18 - 20","Albert Einstein HS & MC Art Cn","FT","Silver Spring","MD","20906","Y","R","Education",17,17,4,"Y","Y","2020","N","Y"
"54","20190058","M","Asian","18 - 20","Bethesda Chevy Chase High Schl","FT","Bethesda","MD","20814","N","R","Business",11,9,2.33,"Y","Y","2020","N","Y"
"55","20190059","F","Black / African Am.","30 +","FOREIGN / INTERNATIONAL HS","PT","Boyds","MD","20841","N","T","Health Sciences",5,0,0,"N","N","2020","N","Y"
"56","20190060","F","Unknown","25 - 29","Duval Sr High School","PT","Takoma Park","MD","20912","Y","T","General Studies",9,6,0,"N","N","2020","N","Y"
"57","20190061","M","Foreign","18 - 20","Walt Whitman High School","FT","Bethesda","MD","20816","N","R","General Studies",15,13,2.46,"Y","Y","2020","N","Y"
"58","20190062","M","Black / African Am.","30 +","FOREIGN / INTERNATIONAL HS","PT","Gaithersburg","MD","20877","N","G","General Studies",10,0,0,"N","N","2020","N","Y"
"59","20190063","F","Hispanic","18 - 20","DISTRICT OF COLUMBIA HS","FT","Silver Spring","MD","20902","N","T","Computer Science",13,9,3.33,"Y","N","2020","N","Y"
"60","20190064","F","Black / African Am.","18 - 20","Seneca Valley High School","FT","Germantown","MD","20874","Y","G","General Studies",12,7,3.14,"N","N","2020","N","Y"
"61","20190065","M","Black / African Am.","< 18","FOREIGN / INTERNATIONAL HS","FT","Takoma Park","MD","20912","N","T","General Studies",12,12,3.25,"Y","N","2020","N","Y"
"62","20190066","M","Asian","25 - 29","Quince Orchard Sr High School","PT","Gaithersburg","MD","20878","N","G","Music",14,12,3.75,"Y","Y","2020","N","Y"
"63","20190067","F","Foreign","18 - 20","FOREIGN / INTERNATIONAL HS","PT","Rockville","MD","20854","N","R","Business",6,6,3.5,"N","N","2020","N","Y"
"64","20190069","F","Black / African Am.","18 - 20","Bethesda Chevy Chase High Schl","FT","Bethesda","MD","20814","Y","R","General Studies",12,12,2.75,"Y","Y","2020","N","Y"
"65","20190070","F","Black / African Am.","18 - 20","Seneca Valley High School","FT","Germantown","MD","20874","N","G","General Studies",15,3,1.5,"N","N","2020","N","Y"
"66","20190071","M","White","18 - 20","Richard Montgomery High School","FT","Rockville","MD","20850","Y","R","Science",14,7,1.07,"N","N","2020","N","Y"
"67","20190072","F","White","18 - 20","Out of State High School","FT","Rockville","MD","20852","N",NA,"Science",16,12,4,"Y","N","2020","N","Y"
"68","20190073","F","Hispanic","18 - 20","Clarksburg High School","FT","Clarksburg","MD","20871","N","R","General Studies",9,0,0,"N","N","2020","N","Y"
"69","20190074","M","White","18 - 20","Northwest HS - Germantown","FT","Germantown","MD","20874","N","G","Science",29,22,3,"Y","N","2020","N","Y"
"70","20190075","F","Hispanic","18 - 20","Quince Orchard Sr High School","PT","Gaithersburg","MD","20878","Y","R","General Studies",16,6,0,"N","N","2020","N","Y"
"71","20190076","F","Foreign","21 - 24","FOREIGN / INTERNATIONAL HS","FT","Washington","DC","20007","N","R","Photography",13,10,4,"N","N","2020","N","Y"
"72","20190077","M","Hispanic","18 - 20","John F. Kennedy High School","FT","Silver Spring","MD","20902","Y","R","Business",11,0,0,"N","N","2020","N","Y"
"73","20190078","M","Asian","18 - 20","Clarksburg High School","FT","Rockville","MD","20851","Y","R","Art",21,21,3.48,"Y","N","2020","N","Y"
"74","20190079","M","Black / African Am.","18 - 20","Unknown","FT","Hyattsville","MD","20783","Y",NA,"Science",14,0,0,"N","N","2020","N","Y"
"75","20190080","F","Black / African Am.","18 - 20","Quince Orchard Sr High School","FT","Gaithersburg","MD","20878","Y","R","General Studies",19,13,1.6,"N","N","2020","N","Y"
"76","20190081","M","Black / African Am.","18 - 20","Richard Montgomery High School","FT","Rockville","MD","20851","N","R","Business",12,3,0.67,"Y","N","2020","N","Y"
"77","20190082","F","Black / African Am.","< 18","Northwest HS - Germantown","FT","Germantown","MD","20874","Y","G","Science",13,6,4,"Y","N","2020","N","Y"
"78","20190083","F","Asian","18 - 20","James Hubert Blake High School","PT","Silver Spring","MD","20904","N","R","General Studies",2,0,0,"N","N","2020","N","Y"
"79","20190084","F","Hispanic","18 - 20","Rockville High School","FT","Silver Spring","MD","20906","N","R","General Studies",13,4,1.29,"N","N","2020","N","Y"
"80","20190085","M","Hispanic","30 +","FOREIGN / INTERNATIONAL HS","PT","Silver Spring","MD","20902","N","R","General Studies",10,0,0,"N","N","2020","N","Y"
"81","20190086","F","Black / African Am.","18 - 20","Out of State High School","FT","Rockville","MD","20850","N","R","Graphic Design",13,7,4,"N","N","2020","N","Y"
"82","20190087","M","Black / African Am.","18 - 20","Quince Orchard Sr High School","PT","Gaithersburg","MD","20878","Y","R","Engineering Science",10,0,0,"N","N","2020","N","Y"
"83","20190088","F","Hispanic","18 - 20","Montgomery Blair High School","PT","Silver Spring","MD","20901","Y","T","General Studies",10,0,0,"N","N","2020","N","Y"
"84","20190090","F","Hispanic","18 - 20","Watkins Mill High School","FT","Montgomery Village","MD","20886","Y","G","American Sign Language",12,12,3.25,"Y","N","2020","N","Y"
"85","20190091","F","Hispanic","< 18","Albert Einstein HS & MC Art Cn","FT","Silver Spring","MD","20902","Y","R","Health Sciences",14,12,2.25,"Y","Y","2020","N","Y"
"86","20190092","M","Multi-Race","18 - 20","Winston Churchill High School","PT","Kensington","MD","20895","Y","R","General Studies",6,0,0,"N","N","2020","N","Y"
"87","20190093","M","Hispanic","18 - 20","Thomas Sprigg Wootton High Sch","FT","North Potomac","MD","20878","N","R","Health Enhancement, Exercise Science, and
Physical Education",12,7,2.8,"N","Y","2020","N","Y"
"88","20190094","F","Black / African Am.","30 +","FOREIGN / INTERNATIONAL HS","FT","Silver Spring","MD","20904","Y","T","Health Sciences",15,0,0,"N","N","2020","N","Y"
"89","20190095","M","Asian","18 - 20","Richard Montgomery High School","PT","Rockville","MD","20852","N","R","Science",10,10,4,"Y","Y","2020","N","Y"
"90","20190096","F","Black / African Am.","18 - 20","FOREIGN / INTERNATIONAL HS","PT","Potomac","MD","20854","N","G","General Studies",5,0,0,"N","N","2020","N","Y"
"91","20190097","F","White","18 - 20","Bethesda Chevy Chase High Schl","FT","Bethesda","MD","20814","N","T","Health Sciences",9,3,1,"N","N","2020","N","Y"
"92","20190098","M","Hispanic","18 - 20","Northwest HS - Germantown","FT","Germantown","MD","20874","Y","G","Computer Science",16,15,3,"Y","Y","2020","N","Y"
"93","20190099","M","Hispanic","18 - 20","Seneca Valley High School","PT","Germantown","MD","20874","N","G","General Studies",5,0,0,"N","N","2020","N","Y"
"94","20190100","M","Hispanic","18 - 20","Sherwood High School","FT","Olney","MD","20832","N","R","Education",12,12,3.33,"Y","Y","2020","N","Y"
"95","20190101","M","Hispanic","18 - 20","Clarksburg High School","FT","Germantown","MD","20876","Y","R","Building Trade",12,6,3.5,"N","Y","2020","N","Y"
"96","20190103","F","Black / African Am.","18 - 20","FOREIGN / INTERNATIONAL HS","FT","Silver Spring","MD","20901","Y","T","Business",16,12,3.75,"Y","N","2020","N","Y"
"97","20190104","M","Asian","18 - 20","Northwest HS - Germantown","FT","Boyds","MD","20841","Y","G","Computer Science",14,13,3.77,"Y","Y","2020","N","Y"
"98","20190105","M","Foreign","21 - 24","FOREIGN / INTERNATIONAL HS","PT","Silver Spring","MD","20904","N","T","Computer Applications",15,15,3.8,"Y","N","2020","N","Y"
"99","20190106","F","Asian","25 - 29","FOREIGN / INTERNATIONAL HS","PT","Bethesda","MD","20814","N","R","General Studies",5,0,0,"N","N","2020","N","Y"
"100","20190107","M","Foreign","21 - 24","FOREIGN / INTERNATIONAL HS","FT","Bethesda","MD","20817","N","R","Graphic Design",45,26,2.91,"N","N","2020","N","Y"
"101","20190108","M","Hispanic","18 - 20","Frederick High School","FT","Rockville","MD","20850","Y","R","Computer Gaming and Simulation",11,4,1.45,"N","N","2020","N","Y"
"102","20190109","M","Hispanic","18 - 20","Wheaton High School","PT","Silver Spring","MD","20910","Y","R","Building Trade",6,6,3,"N","N","2020","N","Y"
"103","20190110","F","Black / African Am.","18 - 20","Paint Branch High School","FT","Silver Spring","MD","20904","N","R","Health Sciences",15,13,3.54,"Y","Y","2020","N","Y"
"104","20190111","M","Hispanic","18 - 20","Washington Christian Academy","FT","Gaithersburg","MD","20882","N","G","General Studies",18,18,3.71,"Y","N","2020","N","Y"
"105","20190112","F","Hispanic","< 18","G. E. D.","FT","Germantown","MD","20876","Y","G","General Studies",25,14,3.64,"Y","N","2020","N","Y"
"106","20190113","0","Hispanic","18 - 20","Clarksburg High School","PT","Germantown","MD","20876","N","G","Business",5,0,0,"N","N","2020","N","Y"
"107","20190114","M","Hispanic","18 - 20","Damascus High School","FT","Gaithersburg","MD","20882","N","G","Business",11,9,3,"Y","Y","2020","N","Y"
"108","20190115","M","Asian","18 - 20","Montgomery Blair High School","FT","Takoma Park","MD","20912","Y","T","General Studies",13,13,3.46,"Y","N","2020","N","Y"
"109","20190116","M","Black / African Am.","18 - 20","James Hubert Blake High School","FT","Silver Spring","MD","20905","Y","R","Computer Gaming and Simulation",11,9,1.33,"Y","N","2020","N","Y"
"110","20190117","F","Black / African Am.","21 - 24","** HOME SCHOOLED **","PT","Gaithersburg","MD","20878","N","R","General Studies",6,6,2.5,"N","N","2020","N","Y"
"111","20190118","F","White","18 - 20","FOREIGN / INTERNATIONAL HS","FT","Gaithersburg","MD","20879","Y","R","General Studies",15,3,4,"N","N","2020","N","Y"
"112","20190119","F","Black / African Am.","18 - 20","John F. Kennedy High School","FT","Silver Spring","MD","20906","Y","T","Business",10,6,3.5,"N","N","2020","N","Y"
"113","20190121","F","Hispanic","21 - 24","FOREIGN / INTERNATIONAL HS","PT","Silver Spring","MD","20902","Y","R","Business",10,0,0,"N","N","2020","N","Y"
"114","20190124","M","Asian","18 - 20","Clarksburg High School","FT","Clarksburg","MD","20871","N","R","General Studies",13,6,2.5,"Y","N","2020","N","Y"
"115","20190125","M","Asian","18 - 20","Quince Orchard Sr High School","PT","Gaithersburg","MD","20878","Y","R","Building Trade",8,0,0,"N","N","2020","N","Y"
"116","20190126","F","Hispanic","18 - 20","Colonel Zadok Magruder HS","FT","Rockville","MD","20850","Y","R","General Studies",13,7,3.14,"N","N","2020","N","Y"
"117","20190127","M","White","18 - 20","Montgomery Blair High School","PT","Takoma Park","MD","20912","N","T","Computer Science",2,2,3,"N","N","2020","N","Y"
"118","20190128","M","Asian","21 - 24","Duval Sr High School","PT","Silver Spring","MD","20905","N","G","Business",3,0,0,"N","N","2020","N","Y"
"119","20190129","F","White","18 - 20","FOREIGN / INTERNATIONAL HS","PT","Rockville","MD","20850","N","R","Undeclared",10,0,0,"N","N","2020","N","Y"
"120","20190130","F","White","< 18","Out of State High School","PT","Kensington","MD","20895","N","T","Art",15,15,3.67,"N","N","2020","N","Y"
"121","20190131","M","Black / African Am.","< 18","DISTRICT OF COLUMBIA HS","FT","Washington","DC","20011","Y","T","Science",15,9,2,"Y","N","2020","N","Y"
"122","20190132","F","Hispanic","18 - 20","James Hubert Blake High School","FT","Ashton","MD","20861","N","R","General Studies",13,11,2.45,"Y","Y","2020","N","Y"
"123","20190133","M","Black / African Am.","21 - 24","Out of State High School","FT","Germantown","MD","20876","N","G","Business",9,3,4,"N","N","2020","N","Y"
"124","20190134","M","Foreign","18 - 20","Watkins Mill High School","FT","Gaithersburg","MD","20879","N","G","Business",17,6,2,"N","N","2020","N","Y"
"125","20190135","F","Hispanic","< 18","Seneca Valley High School","FT","Germantown","MD","20874","Y","G","Communication",15,0,0,"N","N","2020","N","Y"
"126","20190136","F","Foreign","18 - 20","FOREIGN / INTERNATIONAL HS","FT","Gaithersburg","MD","20878","N","R","Interior Design",12,12,3,"N","N","2020","N","Y"
"127","20190137","M","Hispanic","21 - 24","G. E. D.","PT","Jessup","MD","20794","Y","R","General Studies",7,1,3,"N","N","2020","N","Y"
"128","20190138","M","White","30 +","Out of State High School","PT","Silver Spring","MD","20910","N","T","General Studies",3,3,4,"N","N","2020","N","Y"
"129","20190139","F","Foreign","18 - 20","Paint Branch High School","FT","Silver Spring","MD","20904","N","T","Education",12,6,3.5,"Y","N","2020","N","Y"
"130","20190140","M","White","18 - 20","Thomas Sprigg Wootton High Sch","FT","Rockville","MD","20850","N","R","Business",16,16,3.38,"Y","Y","2020","N","Y"
"131","20190141","F","Hispanic","18 - 20","Paint Branch High School","PT","Silver Spring","MD","20904","N","T","Education",7,1,1,"N","N","2020","N","Y"
"132","20190142","F","Black / African Am.","18 - 20","Colonel Zadok Magruder HS","PT","Derwood","MD","20855","N","R","General Studies",7,7,3.57,"Y","N","2020","N","Y"
"133","20190143","M","Foreign","25 - 29","Out of State High School","FT","Germantown","MD","20876","N","G","Computer Science",20,13,1.5,"Y","N","2020","N","Y"
"134","20190144","F","White","21 - 24","Sherwood High School","PT","Olney","MD","20832","N","R","Health Sciences",6,6,3.33,"N","N","2020","N","Y"
"135","20190145","M","Black / African Am.","18 - 20","James Hubert Blake High School","FT","Silver Spring","MD","20904","Y","T","General Studies",12,7,1.29,"N","N","2020","N","Y"
"136","20190146","F","Asian","18 - 20","Eleanor Roosevelt High School","PT","Lanham","MD","20706","Y","T","Computer Gaming and Simulation",10,4,1.75,"N","N","2020","N","Y"
"137","20190147","M","Black / African Am.","18 - 20","Watkins Mill High School","PT","Germantown","MD","20874","N","G","Music",7,1,2,"N","N","2020","N","Y"
"138","20190149","F","Hispanic","21 - 24","Watkins Mill High School","PT","Rockville","MD","20850","N","R","Criminal Justice",6,0,0,"N","N","2020","N","Y"
"139","20190150","F","Black / African Am.","18 - 20","Montgomery Blair High School","FT","Silver Spring","MD","20904","Y","T","Science",14,14,3.5,"Y","Y","2020","N","Y"
"140","20190151","F","White","18 - 20","Sherwood High School","FT","Derwood","MD","20855","N","R","General Studies",19,19,3.23,"N","N","2020","N","Y"
"141","20190152","N","Hispanic","18 - 20","John F. Kennedy High School","PT","Silver Spring","MD","20902","Y","T","Criminal Justice",9,3,3,"N","N","2020","N","Y"
"142","20190154","F","Foreign","< 18","Northwest HS - Germantown","FT","Boyds","MD","20841","N","G","Cybersecurity",18,15,2,"Y","Y","2020","N","Y"
"143","20190155","F","White","18 - 20","Covenant Life School","FT","Silver Spring","MD","20906","N","R","General Studies",25,25,4,"Y","N","2020","N","Y"
"144","20190156","F","Hispanic","18 - 20","Seneca Valley High School","PT","Germantown","MD","20874","N","G","General Studies",9,9,3.33,"Y","N","2020","N","Y"
"145","20190157","M","Hispanic","18 - 20","Walter Johnson High School","FT","Rockville","MD","20852","N","R","General Studies",12,12,3.25,"Y","Y","2020","N","Y"
"146","20190158","M","Hispanic","18 - 20","Northwest HS - Germantown","PT","Gaithersburg","MD","20878","Y","R","Criminal Justice",5,0,0,"N","N","2020","N","Y"
"147","20190159","M","Foreign","18 - 20","John F. Kennedy High School","FT","Silver Spring","MD","20902","N","T","Business",12,12,3,"Y","Y","2020","N","Y"
"148","20190160","M","Asian","18 - 20","Seneca Valley High School","FT","Germantown","MD","20876","N","G","General Studies",16,12,2.5,"Y","N","2020","N","Y"
"149","20190161","M","White","18 - 20","Springbrook Sr High School","FT","Burtonsville","MD","20866","N","G","General Studies",14,9,2.25,"Y","N","2020","N","Y"
"150","20190162","M","Black / African Am.","18 - 20","Seneca Valley High School","FT","Germantown","MD","20874","Y","G","General Studies",12,11,2.91,"Y","N","2020","N","Y"
"151","20190163","F","Black / African Am.","18 - 20","Paint Branch High School","FT","Silver Spring","MD","20904","Y","T","General Studies",14,10,1.9,"Y","N","2020","N","Y"
"152","20190164","F","Unknown","18 - 20","DISTRICT OF COLUMBIA HS","PT","Washington","DC","20011","Y","T","General Studies",3,0,0,"N","N","2020","N","Y"
"153","20190165","F","Hispanic","18 - 20","Gaithersburg High School","FT","Gaithersburg","MD","20879","Y","R","General Studies",14,10,2.5,"Y","N","2020","N","Y"
"154","20190166","M","Multi-Race","18 - 20","Wheaton High School","FT","Silver Spring","MD","20906","N","R","Business",13,9,4,"N","N","2020","N","Y"
"155","20190167","N","Black / African Am.","18 - 20","DISTRICT OF COLUMBIA HS","PT","Washington","DC","20019","Y","T","Graphic Design",10,10,2.4,"N","N","2020","N","Y"
"156","20190168","M","Unknown","18 - 20","Clarksburg High School","FT","Clarksburg","MD","20871","N","G","Theatre",15,15,3.4,"Y","Y","2020","N","Y"
"157","20190169","M","Hispanic","18 - 20","Springbrook Sr High School","PT","Silver Spring","MD","20904","N","R","Criminal Justice",5,0,0,"N","N","2020","N","Y"
"158","20190171","M","Multi-Race","18 - 20","Springbrook Sr High School","FT","Silver Spring","MD","20904","N","R","Building Trade",10,7,3,"N","N","2020","N","Y"
"159","20190172","M","White","18 - 20","Quince Orchard Sr High School","FT","North Potomac","MD","20878","N","R","Business",11,6,2.5,"Y","N","2020","N","Y"
"160","20190173","F","White","30 +","Out of State High School","PT","Silver Spring","MD","20902","N","T","Undeclared",3,3,4,"N","N","2020","N","Y"
"161","20190174","F","Asian","18 - 20","Richard Montgomery High School","FT","Rockville","MD","20850","Y","R","Science",6,3,1,"Y","N","2020","N","Y"
"162","20190175","M","White","25 - 29","G. E. D.","PT","Washington","DC","20007","N","T","General Studies",1,0,0,"N","N","2020","N","Y"
"163","20190176","M","White","18 - 20","Walt Whitman High School","FT","Bethesda","MD","20817","N","R","Engineering Science",14,14,2.43,"Y","Y","2020","N","Y"
"164","20190177","M","Black / African Am.","18 - 20","Northwest HS - Germantown","FT","Germantown","MD","20874","Y","G","Computer Science",20,12,2.75,"Y","N","2020","N","Y"
"165","20190178","F","Black / African Am.","18 - 20","Seneca Valley High School","FT","Germantown","MD","20874","Y","G","General Studies",12,7,2.29,"N","N","2020","N","Y"
"166","20190180","F","Black / African Am.","< 18","Poolesville Jr-Sr High School","FT","Germantown","MD","20876","N","G","Computer Science",18,15,2.73,"Y","Y","2020","N","Y"
"167","20190181","F","Hispanic","18 - 20","Watkins Mill High School","PT","Gaithersburg","MD","20879","N","G","Criminal Justice",6,0,0,"N","N","2020","N","Y"
"168","20190182","F","Hispanic","18 - 20","Montgomery Blair High School","PT","Silver Spring","MD","20901","Y","T","General Studies",10,4,3.25,"N","N","2020","N","Y"
"169","20190183","M","Black / African Am.","25 - 29","Largo Sr High School","PT","Bowie","MD","20721","N","R","Education",3,0,0,"N","N","2020","N","Y"
"170","20190184","F","Hispanic","18 - 20","Rockville High School","PT","Rockville","MD","20853","N","T","General Studies",8,3,4,"N","N","2020","N","Y"
"171","20190185","M","Black / African Am.","< 18","Out of State High School","FT","Silver Spring","MD","20904","N","T","Engineering Science",13,9,4,"Y","N","2020","N","Y"
"172","20190186","M","Hispanic","18 - 20","Clarksburg High School","FT","Clarksburg","MD","20871","N","G","General Studies",14,3,0.75,"N","N","2020","N","Y"
"173","20190187","M","White","18 - 20","Poolesville Jr-Sr High School","FT","Barnesville","MD","20838","N","G","Business",13,13,2,"Y","Y","2020","N","Y"
"174","20190188","F","Hispanic","18 - 20","Richard Montgomery High School","PT","Rockville","MD","20850","Y","R","Health Sciences",9,4,4,"N","N","2020","N","Y"
"175","20190189","F","White","18 - 20","Northwest HS - Germantown","FT","Germantown","MD","20874","N","G","General Studies",37,37,3.67,"Y","N","2020","N","Y"
"176","20190190","M","Hispanic","25 - 29","FOREIGN / INTERNATIONAL HS","PT","Silver Spring","MD","20910","Y","T","Graphic Design",5,0,0,"N","N","2020","N","Y"
