"","u_number","sex","race","age","high_school","full_part","city","stat_code","zip","pell_grant","camp_code","major","hours_attempted","hours_earned","mc_gpa","pass_engl","pass_math","term_year","summer2","fall"
"3692","20193871","M","Asian","18 - 20","Paint Branch High School","FT","Silver Spring","MD","20904","N","R","General Studies",21,18,2.6,"Y","Y","2020","N","Y"
"3693","20193873","F","Foreign","18 - 20","Gaithersburg High School","FT","Gaithersburg","MD","20877","N","R","Architectural Technology",13,6,3,"Y","N","2020","N","Y"
"3694","20193874","M","White","18 - 20","Clarksburg High School","FT","Germantown","MD","20876","N","G","Computer Gaming and Simulation",14,14,4,"Y","Y","2020","N","Y"
"3695","20193875","M","Black / African Am.","18 - 20","Gaithersburg High School","FT","Gaithersburg","MD","20879","Y","R","General Studies",12,12,2.75,"Y","N","2020","N","Y"
"3696","20193876","M","White","18 - 20","Northwest HS - Germantown","PT","Germantown","MD","20874","N","G","Computer Science",7,6,2.57,"Y","N","2020","N","Y"
"3697","20193877","M","Foreign","18 - 20","FOREIGN / INTERNATIONAL HS","FT","Gaithersburg","MD","20878","N","R","Business",16,12,3.75,"Y","N","2020","N","Y"
"3698","20193878","M","Black / African Am.","18 - 20","Unknown","FT","Silver Spring","MD","20904","Y","T","General Studies",12,0,0,"N","N","2020","N","Y"
"3699","20193879","M","Asian","18 - 20","Walter Johnson High School","FT","Bethesda","MD","20817","N","R","General Studies",30,10,0,"N","N","2020","N","Y"
"3700","20193880","M","White","18 - 20","G. E. D.","FT","Bethesda","MD","20817","N","R","Business",9,9,3,"N","N","2020","N","Y"
"3701","20193881","M","White","18 - 20","Albert Einstein HS & MC Art Cn","FT","Silver Spring","MD","20902","Y","R","Cybersecurity",15,15,3.6,"Y","Y","2020","N","Y"
"3702","20193882","M","Black / African Am.","18 - 20","Montgomery Blair High School","FT","Silver Spring","MD","20910","Y","T","General Studies",12,12,3,"Y","N","2020","N","Y"
"3703","20193883","M","Black / African Am.","21 - 24","FOREIGN / INTERNATIONAL HS","PT","Silver Spring","MD","20901","Y","T","General Studies",10,0,0,"N","N","2020","N","Y"
